A,B,C,D,E
24,97,94,92,58
92,83,8,12,46
13,92,6,61,95
49,13,58,83,31
76,19,96,82,94
80,91,46,35,15
14,43,13,53,29
63,97,3,53,41
8,12,32,75,32
10,51,61,80,43
82,31,69,48,4
49,39,11,29,44
18,3,98,55,28
32,18,72,20,9
47,45,62,54,68
48,10,23,24,75
12,67,98,11,44
2,9,46,95,32
49,64,83,11,15
58,20,57,74,73
32,86,97,20,93
9,95,85,35,87
93,24,53,78,26
64,66,49,47,2
87,23,65,77,70
14,16,90,54,66
10,35,9,24,45
92,23,36,8,60
51,11,30,77,28
44,56,90,91,52
82,90,29,73,56
50,2,58,57,91
40,19,3,17,48
81,15,12,83,9
86,63,98,7,98
40,35,80,52,38
47,93,71,50,53
25,25,39,32,79
3,55,53,20,14
41,43,100,98,95
25,3,68,66,82
70,16,63,69,97
45,36,52,96,85
94,61,76,31,26
27,27,71,80,89
96,40,51,83,44
88,64,50,11,7
24,13,86,67,57
73,43,99,73,27
44,12,23,18,92
77,77,14,51,77
85,95,16,61,44
51,84,12,73,57
65,58,6,2,99
52,59,56,15,36
13,7,59,82,22
4,48,54,19,15
63,49,92,20,39
48,27,35,47,36
86,23,5,96,47
62,99,79,40,9
48,89,5,51,68
42,52,97,26,27
53,33,95,100,48
40,56,74,72,39
63,47,4,79,23
71,25,93,81,50
82,13,45,94,2
71,18,75,15,95
4,37,91,57,82
94,2,4,7,32
41,18,69,69,36
38,93,65,86,35
22,2,67,63,55
18,8,47,68,29
34,39,46,77,81
18,10,15,96,90
31,26,43,49,61
57,38,35,11,97
82,100,45,88,2
59,43,87,12,85
62,78,32,60,22
19,23,55,36,91
47,84,100,1,100
47,38,1,55,77
73,84,54,6,65
64,18,69,67,85
65,6,19,62,38
31,82,70,42,86
21,23,57,20,98
60,20,77,23,35
35,90,47,65,32
68,2,9,78,19
88,14,62,12,30
85,67,95,72,20
51,73,72,12,4
14,22,36,21,31
83,15,52,88,67
46,46,67,78,15
47,57,44,35,43
60,89,79,84,23
34,37,48,38,9
57,36,82,23,88
75,81,65,83,78
53,53,93,9,83
98,65,68,82,11
46,42,81,40,37
39,60,30,83,52
7,9,76,3,49
100,37,43,68,47
58,77,52,55,49
75,84,53,43,26
81,13,99,89,32
43,13,69,89,100
70,68,76,25,62
25,52,93,5,97
14,78,85,69,28
11,5,90,85,84
73,86,85,26,78
2,87,27,93,80
54,1,44,28,75
37,20,57,22,77
88,100,43,44,85
12,48,93,18,50
61,31,98,49,62
86,45,100,37,14
37,23,17,4,33
8,7,34,22,55
41,42,76,44,92
50,24,47,52,52
93,79,53,98,8
57,31,64,99,12
31,60,18,61,9
22,87,91,78,82
65,4,31,89,86
1,55,68,94,32
39,76,78,5,96
69,82,74,19,2
48,75,25,89,94
55,85,97,39,21
74,10,60,92,26
93,95,14,73,47
26,22,51,41,7
46,64,24,85,9
56,48,43,17,85
78,8,20,31,9
4,15,59,37,63
22,34,96,15,77
37,15,12,44,13
21,74,48,54,3
31,32,10,89,48
24,6,75,26,79
15,29,31,50,34
75,44,76,63,53
23,73,6,93,88
58,47,88,68,73
42,67,15,27,29
90,17,70,44,45
89,10,87,51,27
74,86,70,97,51
14,89,79,27,51
60,18,77,47,36
36,7,18,95,68
57,98,20,5,42
15,7,84,93,84
97,54,51,97,32
53,31,29,21,62
45,9,1,45,48
95,6,23,83,51
14,42,44,45,17
96,95,9,39,58
72,20,72,38,37
2,97,17,59,99
8,32,33,74,52
54,98,47,26,50
47,6,86,17,33
72,21,24,15,22
93,24,5,34,80
8,90,10,38,16
31,34,71,53,55
12,31,81,58,34
2,9,47,14,51
79,19,45,82,30
71,23,55,11,61
49,94,20,70,73
